description,price,rating,review_count,url
"Latitude 5000 Series 5420 Business Laptop, 14"" FHD Touchscreen, Intel Core i5-1145G7 vPro, 16GB DDR4 RAM, 256GB PCIe SSD, IR Webcam, Backlit Keyboard, HDMI, Wi-Fi 6, Windows 11 Pro",7 capacities,4.6 out of 5 stars,7,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTAzNTQyNjkzMDc2NjQ2OjE3MzUwNTAzMTU6c3BfYXRmOjMwMDU5NTc0NzkwNzgwMjo6MDo6&url=%2FDell-Latitude-5000-Touchscreen-i5-1145G7%2Fdp%2FB0DFYHJMY5%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.TVc_T7BcYL4xHHaNn0oDc-rhtFXWVoF4nEiIPxUKGnB20rZDbxbeDl5tO_gocknbp07rkLmQamOBY73JFhxy1w-s3ZmylAxICXNg_U7UCLAJGrtKxyPK6nAZlXqWeOHsMK9kSkaZGxIhSeArrQuJPH1MUBKkf10-yR2Nw8oM8kZp46D879FesL483wb_8MXka89tpNcn6lQCH_FR1exGzxVxhrs1OxrYmpb1e7Orjpk.rafLVrxdbdFRaMVA0HaEkBYTVW3rGo4b9NMxcEs-65I%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26qid%3D1735050315%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Latitude 14 5000 14"" Touchscreen FHD Business Laptop Computer, Intel i5-1145G7 (Beat i7-1065G7), 32GB DDR4 RAM, 1TB PCIe SSD, WiFi 6, Bluetooth, Thunderbolt 4, Backlit Keyboard, Windows 10 Pro",8 capacities,5.0 out of 5 stars,6,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTAzNTQyNjkzMDc2NjQ2OjE3MzUwNTAzMTU6c3BfYXRmOjMwMDQ5MTI3NTk3MTcwMjo6MDo6&url=%2FDell-5000-Touchscreen-i5-1145G7-Thunderbolt%2Fdp%2FB0D6G9MH9M%2Fref%3Dsr_1_2_sspa%3Fdib%3DeyJ2IjoiMSJ9.TVc_T7BcYL4xHHaNn0oDc-rhtFXWVoF4nEiIPxUKGnB20rZDbxbeDl5tO_gocknbp07rkLmQamOBY73JFhxy1w-s3ZmylAxICXNg_U7UCLAJGrtKxyPK6nAZlXqWeOHsMK9kSkaZGxIhSeArrQuJPH1MUBKkf10-yR2Nw8oM8kZp46D879FesL483wb_8MXka89tpNcn6lQCH_FR1exGzxVxhrs1OxrYmpb1e7Orjpk.rafLVrxdbdFRaMVA0HaEkBYTVW3rGo4b9NMxcEs-65I%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26qid%3D1735050315%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Inspiron Touchscreen Laptop, 15.6"" Business & Student Laptop Computer, Windows 11 Pro Laptop 32GB RAM 1TB SSD, Intel i5-1155G7 Processor, Full HD IPS Display, Numeric Keypad, HDMI, Carbon Black",$499.50,4.1 out of 5 stars,Products highlighted as 'Overall Pick' are:,https://www.amazon.com/Dell-Inspiron-Touchscreen-i5-1155G7-Processor/dp/B0CTPCTW66/ref=sr_1_3?dib=eyJ2IjoiMSJ9.TVc_T7BcYL4xHHaNn0oDc-rhtFXWVoF4nEiIPxUKGnB20rZDbxbeDl5tO_gocknbp07rkLmQamOBY73JFhxy1w-s3ZmylAxICXNg_U7UCLAJGrtKxyPK6nAZlXqWeOHsMK9kSkaZGxIhSeArrQuJPH1MUBKkf10-yR2Nw8oM8kZp46D879FesL483wb_8MXka89tpNcn6lQCH_FR1exGzxVxhrs1OxrYmpb1e7Orjpk.rafLVrxdbdFRaMVA0HaEkBYTVW3rGo4b9NMxcEs-65I&dib_tag=se&keywords=dell+laptop&qid=1735050315&sr=8-3
"Inspiron 15 3000 3520 Business Laptop Computer[Windows 11 Pro], 15.6'' FHD Touchscreen, 11th Gen Intel Quad-Core i5-1135G7, 16GB RAM, 1TB PCIe SSD, Numeric Keypad, Wi-Fi, Webcam, HDMI, Black",$459.98,4.2 out of 5 stars,247,https://www.amazon.com/Dell-Laptop-Touchscreen-Quad-Core-i5-1135G7/dp/B0CC936WF1/ref=sr_1_4?dib=eyJ2IjoiMSJ9.TVc_T7BcYL4xHHaNn0oDc-rhtFXWVoF4nEiIPxUKGnB20rZDbxbeDl5tO_gocknbp07rkLmQamOBY73JFhxy1w-s3ZmylAxICXNg_U7UCLAJGrtKxyPK6nAZlXqWeOHsMK9kSkaZGxIhSeArrQuJPH1MUBKkf10-yR2Nw8oM8kZp46D879FesL483wb_8MXka89tpNcn6lQCH_FR1exGzxVxhrs1OxrYmpb1e7Orjpk.rafLVrxdbdFRaMVA0HaEkBYTVW3rGo4b9NMxcEs-65I&dib_tag=se&keywords=dell+laptop&qid=1735050315&sr=8-4
"Inspiron 3520 15.6"" Touchscreen i7 Laptop, 15.6"" FHD Touchscreen, Intel Core i7-1255U, 32GB RAM, 1TB SSD, Numeric Keypad, Webcam, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black",2 capacities,4.8 out of 5 stars,7,https://www.amazon.com/Dell-Inspiron-3520-Touchscreen-i7-1255U/dp/B0D951M4F8/ref=sr_1_5?dib=eyJ2IjoiMSJ9.TVc_T7BcYL4xHHaNn0oDc-rhtFXWVoF4nEiIPxUKGnB20rZDbxbeDl5tO_gocknbp07rkLmQamOBY73JFhxy1w-s3ZmylAxICXNg_U7UCLAJGrtKxyPK6nAZlXqWeOHsMK9kSkaZGxIhSeArrQuJPH1MUBKkf10-yR2Nw8oM8kZp46D879FesL483wb_8MXka89tpNcn6lQCH_FR1exGzxVxhrs1OxrYmpb1e7Orjpk.rafLVrxdbdFRaMVA0HaEkBYTVW3rGo4b9NMxcEs-65I&dib_tag=se&keywords=dell+laptop&qid=1735050315&sr=8-5
"Inspiron 3511 Laptop, 15.6"" Full HD Touchscreen, Intel Core i5-1135G7 (Beats Intel i7-1065G7), 32GB DDR4 RAM, 1TB PCIe SSD, SD Card Reader, HDMI, Wi-Fi, Windows 11 Home, Black",13 capacities,4.0 out of 5 stars,678,https://www.amazon.com/Dell-3511-Touchscreen-i5-1135G7-i7-1065G7/dp/B0BRT67MWZ/ref=sr_1_6?dib=eyJ2IjoiMSJ9.TVc_T7BcYL4xHHaNn0oDc-rhtFXWVoF4nEiIPxUKGnB20rZDbxbeDl5tO_gocknbp07rkLmQamOBY73JFhxy1w-s3ZmylAxICXNg_U7UCLAJGrtKxyPK6nAZlXqWeOHsMK9kSkaZGxIhSeArrQuJPH1MUBKkf10-yR2Nw8oM8kZp46D879FesL483wb_8MXka89tpNcn6lQCH_FR1exGzxVxhrs1OxrYmpb1e7Orjpk.rafLVrxdbdFRaMVA0HaEkBYTVW3rGo4b9NMxcEs-65I&dib_tag=se&keywords=dell+laptop&qid=1735050315&sr=8-6
"15.6"" IPS FHD Student Laptop, 16GB RAM 1TB SSD, Intel Pentium Quad-Core N100 (Beat to i3-1115G4, Up to 3.4GHz), Backlit Keyboard, Fingerprint, 65W Type C, WiFi 6, BT5.2, USB3.0, Win 11",$399.99,4.6 out of 5 stars,57,https://www.amazon.com/sspa/click?ie=UTF8&spc=MTo2NTAzNTQyNjkzMDc2NjQ2OjE3MzUwNTAzMTU6c3BfbXRmOjMwMDU5MTUwNzk2NzQwMjo6MDo6&url=%2FStudent-Quad-Core-i3-1115G4-Keyboard-Fingerprint%2Fdp%2FB0DJLZPH6F%2Fref%3Dsr_1_7_sspa%3Fdib%3DeyJ2IjoiMSJ9.TVc_T7BcYL4xHHaNn0oDc-rhtFXWVoF4nEiIPxUKGnB20rZDbxbeDl5tO_gocknbp07rkLmQamOBY73JFhxy1w-s3ZmylAxICXNg_U7UCLAJGrtKxyPK6nAZlXqWeOHsMK9kSkaZGxIhSeArrQuJPH1MUBKkf10-yR2Nw8oM8kZp46D879FesL483wb_8MXka89tpNcn6lQCH_FR1exGzxVxhrs1OxrYmpb1e7Orjpk.rafLVrxdbdFRaMVA0HaEkBYTVW3rGo4b9NMxcEs-65I%26dib_tag%3Dse%26keywords%3Ddell%2Blaptop%26qid%3D1735050315%26sr%3D8-7-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
"Newest Inspiron 15 3511 Laptop, 15.6"" FHD Touchscreen, Intel Core i5-1035G1, 12GB RAM, 256GB PCIe NVMe M.2 SSD, SD Card Reader, Webcam, HDMI, WiFi, Windows 11 Home, Black",$407.99,4.2 out of 5 stars,398,https://www.amazon.com/Dell-Inspiron-3511-Touchscreen-i5-1035G1/dp/B0B338HW3T/ref=sr_1_8?dib=eyJ2IjoiMSJ9.TVc_T7BcYL4xHHaNn0oDc-rhtFXWVoF4nEiIPxUKGnB20rZDbxbeDl5tO_gocknbp07rkLmQamOBY73JFhxy1w-s3ZmylAxICXNg_U7UCLAJGrtKxyPK6nAZlXqWeOHsMK9kSkaZGxIhSeArrQuJPH1MUBKkf10-yR2Nw8oM8kZp46D879FesL483wb_8MXka89tpNcn6lQCH_FR1exGzxVxhrs1OxrYmpb1e7Orjpk.rafLVrxdbdFRaMVA0HaEkBYTVW3rGo4b9NMxcEs-65I&dib_tag=se&keywords=dell+laptop&qid=1735050315&sr=8-8
"Inspiron 15 3511 15.6 Inch Laptop, Full HD LED Non-Touch WVA Display - Intel Core i3-1115G4, 8GB DDR4 RAM, 256GB SSD, UHD Graphics, Windows 11 Home - Carbon Black",$329.00,4.0 out of 5 stars,410,https://www.amazon.com/Dell-Inspiron-3511-Non-Touch-Laptop/dp/B09GYN91J9/ref=sr_1_9?dib=eyJ2IjoiMSJ9.TVc_T7BcYL4xHHaNn0oDc-rhtFXWVoF4nEiIPxUKGnB20rZDbxbeDl5tO_gocknbp07rkLmQamOBY73JFhxy1w-s3ZmylAxICXNg_U7UCLAJGrtKxyPK6nAZlXqWeOHsMK9kSkaZGxIhSeArrQuJPH1MUBKkf10-yR2Nw8oM8kZp46D879FesL483wb_8MXka89tpNcn6lQCH_FR1exGzxVxhrs1OxrYmpb1e7Orjpk.rafLVrxdbdFRaMVA0HaEkBYTVW3rGo4b9NMxcEs-65I&dib_tag=se&keywords=dell+laptop&qid=1735050315&sr=8-9
"Inspiron 16 Plus 7640 Laptop - 16.0-inch 16:10 2.5K Display, Intel Core i7-13620H Processor, 16GB LPDDR5 RAM, 1TB SSD, Intel UHD Graphics, Windows 11 Home, Onsite & Migrate Service - Ice Blue",$897.99,4.2 out of 5 stars,99,https://www.amazon.com/Dell-Inspiron-Plus-7640-Laptop/dp/B0D273XDFY/ref=sr_1_10?dib=eyJ2IjoiMSJ9.TVc_T7BcYL4xHHaNn0oDc-rhtFXWVoF4nEiIPxUKGnB20rZDbxbeDl5tO_gocknbp07rkLmQamOBY73JFhxy1w-s3ZmylAxICXNg_U7UCLAJGrtKxyPK6nAZlXqWeOHsMK9kSkaZGxIhSeArrQuJPH1MUBKkf10-yR2Nw8oM8kZp46D879FesL483wb_8MXka89tpNcn6lQCH_FR1exGzxVxhrs1OxrYmpb1e7Orjpk.rafLVrxdbdFRaMVA0HaEkBYTVW3rGo4b9NMxcEs-65I&dib_tag=se&keywords=dell+laptop&qid=1735050315&sr=8-10
